games,states,queries,updates,metrics(loss),metrics(policy_accuracy),metrics(policy_loss),metrics(value_loss),param_updates,evaluation_games,wins_as_player_1,wins_as_player_2,collisions,elo,game_length,opening_value,selfplay_wins_for_player_1,selfplay_wins_for_player_2,selfplay_draws,1-ply openings,1-ply openings (sym),3-ply openings,3-ply openings (sym),5-ply openings,5-ply openings (sym),7-ply openings,7-ply openings (sym),1-ply sym ratio,3-ply sym ratio,5-ply sym ratio,7-ply sym ratio,unique_plies,translation_invariant_plies,unique_trajectories,move_31,move_39,move_41,move_49,group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,ring_0,ring_1,ring_2,ring_3,ring_4,opening_ring_0,opening_ring_1,opening_ring_2,opening_ring_3,opening_ring_4,entropy_at_10,entropy_at_20,entropy_at_30
210000,6891074,55128592,21000,,,,,0.003800810780376196,1000.0,417.0,363.0,14.0,1967.0385084696713,27.46,0.054510300000000005,5718.0,4276.0,6.0,80.0,15.0,1360.0,1116.0,2573.0,2526.0,3552.0,3545.0,0.1875,0.8205882352941176,0.9817333851535173,0.9980292792792793,63688.0,58911.0,9522.0,175.0,333.0,1822.0,255.0,57.0,138.0,227.0,128.0,56.0,111.0,376.0,1438.0,137.0,259.0,1209.0,699.0,2016.0,2585.0,564.0,605.09375,3347.75,5932.25,8786.125,9686.0,18.9375,85.91666666666667,135.4375,575.125,564.0,1.8958609104156494,2.6124250888824463,3.222914457321167
220000,7165674,57325392,22000,,,,,0.0037469330709427595,1000.0,346.0,324.0,5.0,1876.639352366367,28.463,0.034257840000000005,5414.0,4580.0,6.0,80.0,15.0,1148.0,931.0,2363.0,2311.0,3478.0,3463.0,0.1875,0.8109756097560976,0.9779940753279729,0.9956871765382403,74691.0,69051.0,9685.0,205.0,353.0,1876.0,263.0,62.0,133.0,235.0,131.0,59.0,90.0,402.0,1225.0,131.0,358.0,1130.0,625.0,2023.0,2697.0,699.0,816.4375,3353.0416666666665,6092.0,8856.875,9704.0,19.375,77.0,132.0625,590.0,699.0,2.062403678894043,2.8637959957122803,3.405020236968994
230000,7450304,59602432,23000,,,,,0.003617247799411416,1000.0,361.0,341.0,1.0,1895.0412253252778,29.1808,0.020142629999999998,5905.0,4084.0,11.0,80.0,15.0,1282.0,1012.0,2485.0,2419.0,3571.0,3549.0,0.1875,0.7893915756630265,0.9734406438631791,0.9938392607112854,77012.0,71074.0,9709.0,214.0,366.0,1622.0,259.0,92.0,192.0,245.0,154.0,135.0,123.0,456.0,1057.0,177.0,258.0,933.0,685.0,2318.0,2461.0,714.0,830.09375,3540.1666666666665,6160.1875,9004.375,9683.0,25.5625,75.54166666666667,117.25,597.375,714.0,1.9247132539749146,2.678138256072998,3.28426194190979
240000,7742112,61936896,24000,,,,,0.003605642355978489,1000.0,343.0,343.0,2.0,1967.8243718708138,28.5043,0.07427657,5567.0,4423.0,10.0,81.0,15.0,1414.0,1131.0,2558.0,2495.0,3588.0,3573.0,0.18518518518518517,0.7998585572842999,0.975371383893667,0.995819397993311,74310.0,68757.0,9514.0,195.0,340.0,2091.0,266.0,50.0,144.0,236.0,122.0,64.0,114.0,567.0,921.0,152.0,209.0,1044.0,702.0,2042.0,2892.0,741.0,817.90625,3388.25,6062.375,8867.0,9618.0,19.25,73.08333333333333,122.1875,616.75,741.0,2.0197412967681885,2.792965888977051,3.3722448348999023
250000,8027155,64217240,25000,,,,,0.0038002151995897293,1000.0,388.0,387.0,5.0,2051.744016243788,28.3858,0.05533617999999999,6000.0,3990.0,10.0,80.0,15.0,1052.0,820.0,2032.0,1979.0,2959.0,2951.0,0.1875,0.779467680608365,0.9739173228346457,0.9972963839134843,73216.0,67474.0,9376.0,205.0,365.0,2183.0,373.0,26.0,91.0,147.0,125.0,55.0,54.0,377.0,1106.0,117.0,266.0,1218.0,679.0,1839.0,3126.0,774.0,827.96875,3241.75,6220.375,8783.875,9764.0,13.875,68.91666666666667,135.1875,620.625,774.0,1.7724757194519043,2.5906143188476562,3.215708017349243
260000,8311013,66488104,26000,,,,,0.003695401595905423,1000.0,347.0,341.0,0.0,2024.42515427112,29.4109,0.07179881,5903.0,4089.0,8.0,81.0,15.0,1370.0,1111.0,2548.0,2496.0,3513.0,3503.0,0.18518518518518517,0.810948905109489,0.9795918367346939,0.9971534301167093,68373.0,62943.0,9637.0,214.0,273.0,2113.0,379.0,48.0,178.0,171.0,139.0,59.0,93.0,434.0,866.0,168.0,324.0,1030.0,819.0,1881.0,2979.0,811.0,738.6875,3566.6666666666665,6466.625,8973.375,9618.0,18.59375,65.04166666666667,135.8125,607.5,811.0,1.8419098854064941,2.4559617042541504,3.109041213989258
270000,8605122,68840976,27000,,,,,0.003607464488595724,1000.0,348.0,337.0,0.0,2026.19176005191,27.802,0.03791254,5820.0,4170.0,10.0,81.0,15.0,983.0,781.0,1906.0,1829.0,2787.0,2767.0,0.18518518518518517,0.7945066124109867,0.959601259181532,0.9928238249013276,71132.0,65583.0,9351.0,204.0,313.0,2666.0,374.0,21.0,88.0,139.0,94.0,45.0,87.0,254.0,817.0,136.0,238.0,1098.0,715.0,1833.0,3557.0,878.0,740.75,3218.2916666666665,5976.0625,8958.5,9792.0,12.09375,53.916666666666664,128.1875,673.75,878.0,1.9303395748138428,2.7334344387054443,3.3266005516052246
280000,8883142,71065136,28000,,,,,0.0035931344609707594,1000.0,389.0,346.0,7.0,2104.1516337712887,29.9453,0.10095185,6155.0,3833.0,12.0,79.0,15.0,854.0,686.0,1622.0,1572.0,2324.0,2312.0,0.189873417721519,0.8032786885245902,0.969173859432799,0.9948364888123924,75111.0,69297.0,9338.0,188.0,258.0,3027.0,358.0,27.0,137.0,124.0,93.0,68.0,55.0,283.0,702.0,57.0,149.0,887.0,706.0,1979.0,3831.0,902.0,933.0625,3471.9583333333335,6500.5,9063.375,9753.0,14.03125,45.708333333333336,108.875,726.25,902.0,1.6268064975738525,2.212864398956299,2.8593244552612305
290000,9182595,73460760,29000,,,,,0.0036098058335483074,1000.0,349.0,295.0,2.0,2031.3603947777765,27.8439,0.04002431,6313.0,3683.0,4.0,81.0,15.0,1093.0,881.0,2101.0,2046.0,3036.0,3024.0,0.18518518518518517,0.8060384263494969,0.9738219895287958,0.9960474308300395,68523.0,63136.0,9335.0,174.0,286.0,2679.0,343.0,38.0,101.0,172.0,102.0,57.0,59.0,404.0,676.0,96.0,223.0,1032.0,677.0,1908.0,3482.0,973.0,700.65625,3290.1666666666665,6041.125,8862.25,9498.0,14.6875,51.458333333333336,120.75,673.75,973.0,1.8324414491653442,2.511107921600342,3.124210834503174
300000,9461034,75688272,30000,,,,,0.0035691121593117714,1000.0,344.0,293.0,2.0,2041.4020432364132,28.1504,0.05938373,5939.0,4054.0,7.0,81.0,15.0,1013.0,807.0,2035.0,1978.0,2900.0,2882.0,0.18518518518518517,0.7966436327739388,0.971990171990172,0.9937931034482759,70183.0,64649.0,9324.0,222.0,312.0,2497.0,398.0,39.0,89.0,193.0,83.0,65.0,93.0,274.0,669.0,102.0,185.0,898.0,722.0,2172.0,3429.0,987.0,779.8125,3153.5,6207.0,8980.0,9714.0,14.65625,47.416666666666664,112.8125,700.125,987.0,1.8931816816329956,2.587110996246338,3.2349586486816406
310000,9742538,77940304,31000,,,,,0.0035626653116196394,1000.0,351.0,331.0,0.0,2093.6778640005514,27.0071,0.09847115,6282.0,3713.0,5.0,80.0,15.0,1004.0,776.0,1975.0,1901.0,2890.0,2874.0,0.1875,0.7729083665338645,0.9625316455696202,0.9944636678200692,64374.0,59326.0,8756.0,170.0,231.0,2455.0,359.0,48.0,107.0,153.0,125.0,74.0,80.0,304.0,685.0,118.0,222.0,847.0,658.0,2676.0,3215.0,688.0,675.5,2874.9583333333335,6098.1875,9022.5,9705.0,15.84375,49.458333333333336,107.9375,736.375,688.0,1.664324164390564,2.4292023181915283,3.136120319366455
320000,10012609,80100872,32000,,,,,0.003518076613545418,1000.0,413.0,396.0,2.0,2283.6499974303933,28.2031,0.0580218,6069.0,3927.0,4.0,81.0,15.0,1004.0,770.0,1787.0,1719.0,2623.0,2601.0,0.18518518518518517,0.7669322709163346,0.961947397873531,0.9916126572626763,68092.0,62273.0,8897.0,225.0,243.0,2973.0,440.0,52.0,84.0,155.0,146.0,67.0,59.0,329.0,635.0,130.0,215.0,796.0,578.0,2027.0,3881.0,846.0,784.96875,3163.3333333333335,6268.4375,8881.375,9646.0,15.75,48.041666666666664,99.3125,738.5,846.0,1.3319029808044434,1.9313509464263916,2.603163242340088
330000,10294640,82357120,33000,,,,,0.0034854349214583635,1000.0,347.0,298.0,4.0,2111.625984106418,27.7326,0.044013819999999995,6480.0,3514.0,6.0,81.0,15.0,1228.0,941.0,2276.0,2186.0,3120.0,3098.0,0.18518518518518517,0.7662866449511401,0.960456942003515,0.992948717948718,71509.0,65516.0,8822.0,199.0,255.0,2376.0,361.0,52.0,109.0,189.0,99.0,59.0,72.0,258.0,592.0,105.0,200.0,937.0,663.0,2620.0,3191.0,854.0,817.9375,3082.125,6145.25,8660.75,9571.0,15.875,42.791666666666664,112.5,726.375,854.0,1.711227536201477,2.4094786643981934,3.104966640472412
340000,10571966,84575728,34000,,,,,0.0034524230286478996,1000.0,318.0,299.0,2.0,2085.259612340389,25.7089,0.07518216,6608.0,3389.0,3.0,81.0,15.0,1161.0,915.0,1995.0,1935.0,2703.0,2694.0,0.18518518518518517,0.7881136950904393,0.9699248120300752,0.9966703662597114,63411.0,58494.0,7729.0,189.0,268.0,2798.0,288.0,58.0,149.0,202.0,113.0,54.0,80.0,198.0,701.0,115.0,173.0,875.0,659.0,2388.0,3543.0,692.0,639.25,2739.2916666666665,5841.4375,8458.5,9759.0,18.0,45.583333333333336,106.6875,741.375,692.0,1.8955572843551636,2.5939278602600098,3.198880434036255
350000,10829055,86632440,35000,,,,,0.003361933398991823,1000.0,338.0,358.0,5.0,2175.860640745051,28.167,0.09076522000000001,6600.0,3394.0,6.0,80.0,15.0,1055.0,835.0,1773.0,1716.0,2465.0,2447.0,0.1875,0.7914691943127962,0.9678510998307953,0.9926977687626775,69139.0,63663.0,9026.0,226.0,258.0,2953.0,271.0,61.0,129.0,180.0,97.0,43.0,61.0,170.0,573.0,86.0,145.0,796.0,650.0,2432.0,3708.0,869.0,749.84375,3261.4166666666665,6181.875,8841.875,9756.0,15.9375,37.083333333333336,99.4375,767.5,869.0,1.6749969720840454,2.4216017723083496,3.1878163814544678
360000,11110725,88885800,36000,,,,,0.003528418019413948,1000.0,332.0,311.0,2.0,2119.195421746456,26.8248,0.10556392999999999,6677.0,3314.0,9.0,80.0,15.0,982.0,782.0,1841.0,1789.0,2588.0,2573.0,0.1875,0.7963340122199593,0.9717544812601847,0.9942040185471407,65028.0,59808.0,8183.0,305.0,268.0,3567.0,261.0,33.0,90.0,136.0,100.0,50.0,73.0,176.0,530.0,96.0,150.0,696.0,573.0,2171.0,4401.0,725.0,692.40625,2942.25,6042.3125,8637.125,9703.0,12.78125,36.458333333333336,88.6875,821.5,725.0,1.8110872507095337,2.4761271476745605,3.162304639816284
370000,11378973,91031784,37000,,,,,0.003510457929223776,1000.0,347.0,292.0,10.0,2157.9835599721323,25.9325,0.14394701,7304.0,2683.0,13.0,81.0,15.0,658.0,530.0,1277.0,1236.0,2023.0,2014.0,0.18518518518518517,0.8054711246200608,0.9678935003915426,0.995551161641127,60987.0,56254.0,7564.0,185.0,216.0,4116.0,319.0,25.0,64.0,113.0,65.0,43.0,52.0,192.0,498.0,50.0,150.0,635.0,572.0,2019.0,4836.0,686.0,601.40625,2744.1666666666665,6079.0,8481.875,9101.0,9.6875,33.0,84.8125,856.875,686.0,1.6227911710739136,2.3626139163970947,3.0629940032958984
380000,11638298,93106384,38000,,,,,0.0034396096598356962,1000.0,310.0,326.0,3.0,2121.458660952185,27.3325,0.07816200000000001,6345.0,3645.0,10.0,81.0,15.0,825.0,646.0,1634.0,1593.0,2395.0,2380.0,0.18518518518518517,0.7830303030303031,0.9749082007343941,0.9937369519832986,65357.0,59906.0,8678.0,156.0,249.0,3864.0,187.0,31.0,112.0,111.0,101.0,43.0,52.0,230.0,607.0,53.0,169.0,751.0,521.0,2106.0,4456.0,657.0,686.4375,3038.5833333333335,6186.5625,8794.75,9090.0,12.4375,39.25,90.0625,820.25,657.0,1.7063847780227661,2.3373732566833496,3.0905730724334717
